"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"brms","brms","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","2.15.0",NA,"R (>= 3.5.0), Rcpp (>= 0.12.0), methods","rstan (>= 2.19.2), ggplot2 (>= 2.0.0), loo (>= 2.3.1), Matrix
(>= 1.1.1), mgcv (>= 1.8-13), rstantools (>= 2.1.1), bayesplot
(>= 1.5.0), shinystan (>= 2.4.0), projpred (>= 2.0.0),
bridgesampling (>= 0.3-0), glue (>= 1.3.0), future (>= 1.19.0),
matrixStats, nleqslv, nlme, coda, abind, stats, utils,
parallel, grDevices, backports",NA,"testthat (>= 0.9.1), emmeans (>= 1.4.2), cmdstanr (>= 0.1.3),
RWiener, rtdists, mice, spdep, mnormt, lme4, MCMCglmm,
splines2, ape, arm, statmod, digest, diffobj, R.rsp, knitr,
rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"Brobdingnag","Brobdingnag","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.2-6",NA,"R (>= 2.13.0), methods",NA,NA,NA,NA,"GPL",NA,NA,NA,NA,"no","4.1.0"
"broom","broom","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","0.7.9",NA,"R (>= 3.1)","backports, dplyr (>= 1.0.0), ellipsis, generics (>= 0.0.2),
glue, methods, purrr, rlang, stringr, tibble (>= 3.0.0), tidyr
(>= 1.0.0)",NA,"AER, akima, AUC, bbmle, betareg, biglm, binGroup, boot,
btergm, car, caret, cluster, cmprsk, coda, covr, drc, e1071,
emmeans, epiR, ergm (>= 3.10.4), fixest (>= 0.9.0), gam (>=
1.15), gee, geepack, ggplot2, glmnet, glmnetUtils, gmm, Hmisc,
irlba, joineRML, Kendall, knitr, ks, Lahman, lavaan, leaps,
lfe, lm.beta, lme4, lmodel2, lmtest (>= 0.9.38), lsmeans, maps,
maptools, margins, MASS, Matrix, mclust, mediation, metafor,
mfx, mgcv, mlogit, modeldata, modeltests, muhaz, multcomp,
network, nnet, orcutt (>= 2.2), ordinal, plm, poLCA, psych,
quantreg, rgeos, rmarkdown, robust, robustbase, rsample,
sandwich, sp, spdep (>= 1.1), spatialreg, speedglm, spelling,
survey, survival, systemfit, testthat (>= 2.1.0), tseries,
vars, zoo",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"bslib","bslib","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","0.2.5.1",NA,"R (>= 2.10)","grDevices, htmltools (>= 0.5.1), jsonlite, sass (>= 0.4.0),
jquerylib (>= 0.1.3), rlang, magrittr",NA,"shiny (>= 1.6.0), rmarkdown (>= 2.7), thematic, knitr,
testthat, withr, rappdirs, curl",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"bvls","bvls","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.4",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"c060","c060","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","0.2-7",NA,"","glmnet, survival, parallel, mlegp, tgp, peperr, penalizedSVM,
lattice",NA,"",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"cachem","cachem","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.0.5",NA,NA,"rlang, fastmap",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"Cairo","Cairo","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.5-12.2",NA,"R (>= 2.4.0)","grDevices, graphics",NA,"png","FastRWeb","GPL-2",NA,NA,NA,NA,"yes","4.1.0"
"callr","callr","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","3.7.0",NA,NA,"processx (>= 3.5.0), R6, utils",NA,"cli, covr, ps, rprojroot, spelling, testthat, withr (>=
2.3.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"car","car","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","3.0-11",NA,"R (>= 3.5.0), carData (>= 3.0-0)","abind, MASS, mgcv, nnet, pbkrtest (>= 0.4-4), quantreg,
grDevices, utils, stats, graphics, maptools, rio, lme4 (>=
1.1-27.1), nlme",NA,"alr4, boot, coxme, effects, knitr, leaps, lmtest, Matrix,
MatrixModels, rgl (>= 0.93.960), sandwich, SparseM, survival,
survey",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"carData","carData","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","3.0-4",NA,"R (>= 3.5.0)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"caret","caret","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","6.0-88",NA,"R (>= 3.2.0), lattice (>= 0.20), ggplot2","foreach, methods, plyr, ModelMetrics (>= 1.2.2.2), nlme,
reshape2, stats, stats4, utils, grDevices, recipes (>= 0.1.10),
withr (>= 2.0.0), pROC,",NA,"BradleyTerry2, e1071, earth (>= 2.2-3), fastICA, gam (>=
1.15), ipred, kernlab, knitr, klaR, MASS, ellipse, Matrix, mda,
mgcv, mlbench, MLmetrics, nnet, party (>= 0.9-99992), pls,
proxy, randomForest, RANN, rmarkdown, spls, subselect, pamr,
superpc, Cubist, testthat (>= 0.9.1), rpart, dplyr, covr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"castor","castor","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.6.8",NA,"Rcpp (>= 0.12.10)","parallel, naturalsort, stats, nloptr, Matrix, RSpectra","Rcpp",NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"caTools","caTools","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.18.2",NA,"R (>= 3.6.0)","bitops",NA,"MASS, rpart",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"CBPS","CBPS","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","0.22",NA,"R (>= 3.4), MASS, MatchIt, nnet, numDeriv, glmnet","",NA,"testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"cellranger","cellranger","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.1.0",NA,"R (>= 3.0.0)","rematch, tibble",NA,"covr, testthat (>= 1.0.0), knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"checkmate","checkmate","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","2.0.0",NA,"R (>= 3.0.0)","backports (>= 1.1.0), utils",NA,"R6, fastmatch, data.table (>= 1.9.8), devtools, ggplot2,
knitr, magrittr, microbenchmark, rmarkdown, testthat (>=
0.11.0), tinytest (>= 1.1.0), tibble",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"classInt","classInt","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","0.4-3",NA,"R (>= 2.2)","grDevices, stats, graphics, e1071, class, KernSmooth",NA,"spData (>= 0.2.6.2), units, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"cli","cli","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","3.0.1",NA,"R (>= 2.10)","glue, utils",NA,"callr, covr, grDevices, htmlwidgets, knitr, methods, mockery,
prettycode (>= 1.1.0), processx, ps (>= 1.3.4.9000), rlang,
rmarkdown, rstudioapi, shiny, testthat, tibble, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"clipr","clipr","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","0.7.1",NA,NA,"utils",NA,"covr, knitr, rmarkdown, rstudioapi (>= 0.5), testthat (>=
2.0.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"clue","clue","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","0.3-59",NA,"R (>= 3.2.0)","stats, cluster, graphics, methods",NA,"e1071, lpSolve (>= 5.5.7), quadprog (>= 1.4-8), relations","RWeka, ape, cba, cclust, flexclust, flexmix, kernlab, mclust,
movMF, modeltools","GPL-2",NA,NA,NA,NA,"yes","4.1.0"
"clustermq","clustermq","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","0.8.95.1",NA,"R (>= 3.5.0)","methods, narray, progress, purrr, R6, Rcpp, utils","Rcpp","callr, devtools, dplyr, foreach, iterators, knitr, parallel,
rmarkdown, roxygen2 (>= 5.0.0), testthat, tools",NA,"Apache License (== 2.0) | file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"cmdstanr","cmdstanr","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","0.4.0.9000",NA,NA,"checkmate, data.table, jsonlite (>= 1.2.0), posterior (>=
1.0.0), processx (>= 3.5.0), R6 (>= 2.4.0)",NA,"bayesplot, knitr, loo (>= 2.0.0), rlang (>= 0.4.7),
rmarkdown, testthat (>= 2.1.0)",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"cobalt","cobalt","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","4.3.1",NA,"R (>= 3.3.0)","ggplot2 (>= 3.3.0), grid, gtable (>= 0.3.0), gridExtra (>=
2.3), rlang (>= 0.4.0), crayon, backports (>= 1.1.8)",NA,"MatchIt, WeightIt (>= 0.5.0), twang (>= 1.6), Matching,
optmatch, ebal, CBPS (>= 0.17), designmatch, optweight, mice
(>= 3.8.0), MatchThem (>= 0.9.3), cem (>= 1.1.27), mlogit,
knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"coda","coda","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","0.19-4",NA,"R (>= 2.14.0)","lattice",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"colorspace","colorspace","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","2.0-2",NA,"R (>= 3.0.0), methods","graphics, grDevices, stats",NA,"datasets, utils, KernSmooth, MASS, kernlab, mvtnorm, vcd,
tcltk, shiny, shinyjs, ggplot2, dplyr, scales, grid, png, jpeg,
knitr, rmarkdown, RColorBrewer, rcartocolor, scico, viridis,
wesanderson",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"colourpicker","colourpicker","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.1.0",NA,"R (>= 3.1.0)","ggplot2, htmltools, htmlwidgets (>= 0.7), jsonlite, miniUI (>=
0.1.1), shiny (>= 0.11.1), shinyjs (>= 2.0.0), utils",NA,"knitr (>= 1.7), rmarkdown, rstudioapi (>= 0.5),
shinydisconnect",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"CommonJavaJars","CommonJavaJars","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.0-6",NA,"R (>= 2.8.0)",NA,NA,"rJava, knitr",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"commonmark","commonmark","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.7",NA,NA,NA,NA,"curl, testthat, xml2",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"CompQuadForm","CompQuadForm","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.4.3",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"conflicted","conflicted","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.0.4",NA,"R (>= 3.2)","rlang (>= 0.3.4), memoise",NA,"covr, crayon, dplyr, pkgdown, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"conquer","conquer","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.0.2",NA,"R (>= 3.5.0)","Rcpp (>= 1.0.3), Matrix, matrixStats, stats","Rcpp, RcppArmadillo (>= 0.9.850.1.0)",NA,NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"copula","copula","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.0-1",NA,"R (>= 3.5.0)","stats, graphics, methods, stats4, Matrix, lattice, colorspace,
gsl, ADGofTest, stabledist (>= 0.6-4), mvtnorm, pcaPP, pspline,
numDeriv",NA,"MASS, KernSmooth, sfsmisc, scatterplot3d, Rmpfr, bbmle,
knitr, rmarkdown, abind, crop, gridExtra, lcopula, mev,
mvnormtest, parallel, partitions, polynom, qrng, randtoolbox,
rugarch, Runuran, tseries, VGAM, VineCopula, zoo","nor1mix, copulaData","GPL (>= 3) | file LICENCE",NA,NA,NA,NA,"yes","4.1.0"
"corpcor","corpcor","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.6.9",NA,"R (>= 3.0.2)","stats",NA,"",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.1.0"
"corrplot","corrplot","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","0.90",NA,NA,NA,NA,"seriation, knitr, RColorBrewer, rmarkdown, magrittr,
prettydoc, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"covr","covr","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","3.5.1",NA,"R (>= 3.1.0), methods","digest, stats, utils, jsonlite, rex, httr, crayon, withr (>=
1.0.2), yaml",NA,"R6, curl, knitr, rmarkdown, htmltools, DT (>= 0.2), testthat,
rlang, rstudioapi (>= 0.2), xml2 (>= 1.0.0), parallel, memoise,
mockery",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"cowplot","cowplot","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.1.1",NA,"R (>= 3.5.0)","ggplot2 (> 2.2.1), grid, gtable, grDevices, methods, rlang,
scales",NA,"Cairo, covr, dplyr, forcats, gridGraphics (>= 0.4-0), knitr,
lattice, magick, maps, PASWR, patchwork, rmarkdown, ragg,
testthat (>= 1.0.0), tidyr, vdiffr (>= 0.3.0), VennDiagram",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"cpp11","cpp11","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","0.3.1",NA,NA,NA,NA,"bench, brio, callr, cli, covr, decor, desc, ggplot2, glue,
knitr, lobstr, mockery, progress, rmarkdown, scales, Rcpp,
testthat, tibble, utils, vctrs, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"crayon","crayon","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.4.1",NA,NA,"grDevices, methods, utils",NA,"mockery, rstudioapi, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"credentials","credentials","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.3.1",NA,NA,"openssl (>= 1.3), sys (>= 2.1), curl, jsonlite, askpass",NA,"testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"crosstalk","crosstalk","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.1.1",NA,NA,"htmltools (>= 0.3.6), jsonlite, lazyeval, R6",NA,"shiny, ggplot2, testthat (>= 2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"curl","curl","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","4.3.2",NA,"R (>= 3.0.0)",NA,NA,"spelling, testthat (>= 1.0.0), knitr, jsonlite, rmarkdown,
magrittr, httpuv (>= 1.4.4), webutils",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"data.table","data.table","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.14.0",NA,"R (>= 3.1.0)","methods",NA,"bit64 (>= 4.0.0), bit (>= 4.0.4), curl, R.utils, xts,
nanotime, zoo (>= 1.8-1), yaml, knitr, rmarkdown",NA,"MPL-2.0 | file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"datamods","datamods","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.1.5",NA,NA,"htmltools, shiny (>= 1.5.0), shinyWidgets (>= 0.5.3), DT,
data.table, readxl, rio, rlang, tibble, tools",NA,"testthat, knitr, MASS, rmarkdown, validate",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"dbarts","dbarts","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","0.9-19",NA,"R (>= 3.1-0)","stats, methods, graphics, parallel",NA,"testthat (>= 0.9-0), knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"DBI","DBI","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.1.1",NA,"methods, R (>= 3.0.0)",NA,NA,"blob, covr, dbplyr, dplyr, glue, hms, knitr, magrittr,
rmarkdown, rprojroot, RMariaDB, RSQLite (>= 1.1-2), testthat,
xml2",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.1.0"
"dbplyr","dbplyr","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","2.1.1",NA,"R (>= 3.1)","assertthat (>= 0.2.0), blob (>= 1.2.0), DBI (>= 1.0.0), dplyr
(>= 1.0.4), ellipsis, glue (>= 1.2.0), lifecycle (>= 1.0.0),
magrittr, methods, purrr (>= 0.2.5), R6 (>= 2.2.2), rlang (>=
0.2.0), tibble (>= 1.4.2), tidyselect (>= 0.2.4), utils, vctrs,
withr",NA,"bit64, covr, knitr, Lahman, nycflights13, odbc, RMariaDB (>=
1.0.2), rmarkdown, RPostgres (>= 1.1.3), RPostgreSQL, RSQLite
(>= 2.1.0), testthat (>= 3.0.2), tidyr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"DEoptimR","DEoptimR","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.0-9",NA,NA,"stats",NA,NA,"robustbase","GPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"Deriv","Deriv","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","4.1.3",NA,NA,"methods",NA,"testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.1.0"
"desc","desc","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","1.3.0",NA,"R (>= 3.1.0)","utils, R6, crayon, rprojroot",NA,"covr, testthat, whoami, withr, spelling, gh",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"DescTools","DescTools","/home/schmis1m/R/x86_64-pc-linux-gnu-library/4.1","0.99.42",NA,"base, stats, R (>= 3.6.0)","graphics, grDevices, methods, MASS, utils, boot, mvtnorm,
expm, Rcpp (>= 0.12.10), rstudioapi, Exact, gld, data.table","Rcpp, BH","RDCOMClient, tcltk, VGAM, R.rsp",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
